# category|subcategory|url  (Tech & AI taxonomy)

# === TECH & AI / AI NEWS ===
Tech & AI|AI News|https://www.technologyreview.com/feed/
Tech & AI|AI News|https://www.wired.com/feed/category/artificial-intelligence/latest/rss
Tech & AI|AI News|https://www.theverge.com/artificial-intelligence/rss/index.xml
Tech & AI|AI News|https://venturebeat.com/category/ai/feed/

# === TECH & AI / BIG TECH ===
Tech & AI|Big Tech|https://www.reuters.com/technology/rss
Tech & AI|Big Tech|https://www.theverge.com/rss/index.xml
Tech & AI|Big Tech|https://techcrunch.com/feed/
Tech & AI|Big Tech|https://www.cnbc.com/id/15839069/device/rss/rss.html

# === TECH & AI / SECURITY & PRIVACY ===
Tech & AI|Security & Privacy|https://www.wired.com/feed/category/security/rss
Tech & AI|Security & Privacy|https://krebsonsecurity.com/feed/
Tech & AI|Security & Privacy|https://thehackernews.com/feeds/posts/default
Tech & AI|Security & Privacy|https://www.bleepingcomputer.com/feed/

# === TECH & AI / INTERNET & PLATFORMS ===
Tech & AI|Internet & Platforms|https://www.theverge.com/internet/rss/index.xml
Tech & AI|Internet & Platforms|https://techcrunch.com/category/internet/feed/
Tech & AI|Internet & Platforms|https://www.theguardian.com/technology/internet/rss
Tech & AI|Internet & Platforms|https://www.socialmediatoday.com/rss

# === TECH & AI / INNOVATION & GADGETS ===
Tech & AI|Innovation & Gadgets|https://www.theverge.com/tech/rss/index.xml
Tech & AI|Innovation & Gadgets|https://www.wired.com/feed/category/gear/latest/rss
Tech & AI|Innovation & Gadgets|https://www.engadget.com/rss.xml
Tech & AI|Innovation & Gadgets|https://www.digitaltrends.com/feed/

# === TECH & AI / GAMING TECH ===
Tech & AI|Gaming Tech|https://www.theverge.com/games/rss/index.xml
Tech & AI|Gaming Tech|https://www.pcgamer.com/rss/
Tech & AI|Gaming Tech|https://www.polygon.com/rss/index.xml
Tech & AI|Gaming Tech|https://www.gamesindustry.biz/feed

# === TECH & AI / AUDIO & CREATOR TOOLS ===
Tech & AI|Audio & Creator Tools|https://www.tubefilter.com/feed/
Tech & AI|Audio & Creator Tools|https://www.theverge.com/audio-video/rss/index.xml
Tech & AI|Audio & Creator Tools|https://www.digitalmusicnews.com/feed/
Tech & AI|Audio & Creator Tools|https://www.creativebloq.com/feed
